Figure,Panel,Source script,Source CSV/table,Input artifact,Relevant configuration,Output SVG/PDF/PNG path,Availability note
Supplementary Figure S2,a,supplementary_data/recommended_mode_120_run/scripts/build_ampad_four_center_objective_sensitivity_s18.py,supplementary_data/recommended_mode_120_run/summary/proposed_table_s16_24_conditions.csv,Validated 120-run summary bundle,Original and updated absolute target deviation,figures/figure_s18.svg; figures/figure_s18.pdf; figures/figure_s18.png,Development-only aggregate data
Supplementary Figure S2,b,supplementary_data/recommended_mode_120_run/scripts/build_ampad_four_center_objective_sensitivity_s18.py,supplementary_data/recommended_mode_120_run/summary/proposed_table_s16_24_conditions.csv,Validated 120-run summary bundle,Original and updated all-zero generations,figures/figure_s18.svg; figures/figure_s18.pdf; figures/figure_s18.png,Development-only aggregate data
Supplementary Figure S2,c,supplementary_data/recommended_mode_120_run/scripts/build_ampad_four_center_objective_sensitivity_s18.py,supplementary_data/recommended_mode_120_run/summary/remaining90_center_summary.csv; supplementary_data/recommended_mode_120_run/summary/remaining90_branch_summary.csv,Validated 120-run summary bundle,Aggregate change by center and branch,figures/figure_s18.svg; figures/figure_s18.pdf; figures/figure_s18.png,Development-only aggregate data
Supplementary Figure S3,all,analysis/regret_revision/generate_supplementary_revision_figures.py,compression_regret_summary.csv,Archived locking-score and feature-count summaries,Retrospective compression-regret comparison,figures/figure_s15.png,Development-only summary data
Supplementary Figure S4,a,scripts/build_revision_figures.py; scripts/render_figure_s16_from_svg.ps1,revision_outputs/S16_LOCKING_SENSITIVITY_PLOT_DATA.csv,locking_rule_sensitivity.csv,Tolerance sensitivity: eligible-pool size,figures/figure_s16.svg; figures/figure_s16.pdf; figures/figure_s16.png,No scientific recomputation in final QA
Supplementary Figure S4,b,scripts/build_revision_figures.py; scripts/render_figure_s16_from_svg.ps1,revision_outputs/S16_LOCKING_SENSITIVITY_PLOT_DATA.csv,locking_rule_sensitivity.csv,Tolerance sensitivity: eligible-pool representativeness; singleton values remain missing,figures/figure_s16.svg; figures/figure_s16.pdf; figures/figure_s16.png,No scientific recomputation in final QA
Supplementary Figure S4,c,scripts/build_revision_figures.py; scripts/render_figure_s16_from_svg.ps1,revision_outputs/S16_LOCKING_SENSITIVITY_PLOT_DATA.csv,locking_rule_sensitivity.csv,Tolerance sensitivity: selected empirical regret,figures/figure_s16.svg; figures/figure_s16.pdf; figures/figure_s16.png,No scientific recomputation in final QA
Supplementary Figure S5,a-b,scripts/build_tcga_nested_figures.py,supplementary_data/tcga_nested_v1_v2/candidate_level_geometry.csv; bank_level_locking_geometry.csv,Verified 30 fully nested TCGA candidate banks,Complete repeat-specific candidate regret and Jaccard geometry,figures/figure_s25_repeat_1.pdf; figures/figure_s25_repeat_2.pdf,Outer-training candidate-bank audit only
Supplementary Figure S6,a-c,scripts/build_tcga_nested_figures.py,supplementary_data/tcga_nested_v1_v2/within_vs_across_agreement.csv; locked_outer_fold_pairs.csv,Verified TCGA candidate masks and locked signatures,Conditional within-bank agreement and outer-partition sensitivity,figures/figure_s26.svg; figures/figure_s26.pdf; figures/figure_s26.png,Descriptive dependent-fold summaries; not biomarker stability
Supplementary Figure S7,a-c,scripts/build_tcga_nested_figures.py,supplementary_data/tcga_nested_v1_v2/oof_metrics.csv; paired_differences.csv; selected_feature_counts.csv,Verified completed TCGA outer-fold predictions,Repeated-OOF comparator metrics and compression audit,figures/figure_s27.svg; figures/figure_s27.pdf; figures/figure_s27.png,Aggregate internal outer-CV results only
Supplementary Figure S8,a-c,analysis/tcga_matched_comparator_20260813/build_benchmark_outputs.py,supplementary_data/tcga_matched_comparator/oof_metrics.csv; mean_feature_counts.csv,Validated 30-condition checksum-frozen TCGA selector extension,Repeated-OOF macro AUPRC balanced accuracy and feature counts,figures/figure_s_matched_comparator_strengthened.svg; figures/figure_s_matched_comparator_strengthened.pdf; figures/figure_s_matched_comparator_strengthened.png,Aggregate internal outer-CV results conditional on post-Direct universes
Supplementary Figure S9,a-c,scripts/build_postfreeze_results.py,supplementary_data/postfreeze_ampad/condition_metrics.csv; supplementary_data/postfreeze_ampad/paired_condition_contrasts.csv,Frozen 24-condition post-freeze AMP-AD evaluation,"One-time corresponding held-out-center evaluation and 2,000 common resamples (seed 42)",figures/figure_s21.svg; figures/figure_s21.pdf; figures/figure_s21.png,Aggregate metrics and paired intervals only; prediction rows excluded
Supplementary Figure S10,a-d,analysis/build_supplementary_figure_s1_abcd.py,data/plot_data/Figure_2/source_figure_s1_prediction_data.csv; analysis/candidate_priority_1_4/tables/Supplementary_Table_S4B_ADNI_paired_differences.csv,Frozen ADNI prediction and paired-difference summaries,ADNI held-out metrics and paired differences,figures/figure_s1.png,Derived prediction and summary data; no raw assay matrix
Supplementary Figure S11,a-c,analysis/full_analysis/archived_figure_2_source.py,data/plot_data/Figure_2/source_figure_s1_prediction_data.csv; data/plot_data/Figure_2/source_table_s1_all_performance_metrics.csv,Frozen ADNI prediction and performance summaries,ADNI confusion recall and ROC diagnostics,figures/figure_s2.png,Derived prediction and summary data; no raw assay matrix
Supplementary Figure S12,a-c,analysis/full_analysis/archived_figure_2_source.py,data/plot_data/Figure_2/source_table_s3_selected_feature_sets.csv,Frozen ADNI selected-feature records,ADNI modality composition overlap and intersections,figures/figure_s3.png,Feature membership summaries; upstream participant matrix restricted
Supplementary Figure S13,a-c,outputs/AMPAD_Figure3_publication_assets_20260731/scripts/aggregate_ampad_budget_calibration.py,outputs/AMPAD_Figure3_publication_assets_20260731/tables/Supplementary_Table_S25C_paired_performance_differences.csv,Frozen AMP-AD paired summary artifacts,AMP-AD paired held-out differences across cap settings,figures/figure_s12.png,Aggregate held-out summaries; no participant matrix
Supplementary Figure S14,a-b,outputs/AMPAD_Figure3_publication_assets_20260731/scripts/aggregate_ampad_budget_calibration.py,outputs/AMPAD_Figure3_publication_assets_20260731/tables/Supplementary_Table_S26B_pairwise_Jaccard_companion.csv; outputs/AMPAD_Figure3_publication_assets_20260731/tables/Supplementary_Table_S26C_modality_composition.csv,Frozen AMP-AD stability and modality summaries,Cross-center recurrence and modality composition,figures/figure_s13.png,Development-only aggregate feature summaries
Supplementary Figure S15,a-c,analysis/full_analysis/archived_figure_5_6_source.py,data/plot_data/Figure_5/figure5b_compression_auroc.csv; data/plot_data/Figure_5/figure5c_additional_metrics.csv,Frozen CGGA held-out summaries,CGGA Direct versus locked held-out metrics,figures/figure_s7.png,Aggregate held-out summaries
Supplementary Figure S16,a-c,analysis/build_figure_6_abcd.py,data/plot_data/Figure_6/figure6b_jaccard_summary.csv; outputs/WrapEvoFS_V6_supplementary_data/old_S13_complete_CGGA_GA_run_audit.csv; outputs/WrapEvoFS_V6_supplementary_data/old_S16B_complete_CGGA_feature_frequencies.csv; outputs/WrapEvoFS_V6_supplementary_data/old_S17_complete_CGGA_pairwise_Jaccard.csv,Frozen CGGA five-run audit records,CGGA run-level Jaccard feature counts and feature frequencies,figures/figure_s8_a.png; figures/figure_s8_bc.png,Development-only run and feature summaries
Supplementary Figure S17,a-b,analysis/regret_revision/generate_revision_figures.py,analysis/regret_revision/figure5_cgga_legacy_paired_intervals.csv,Archived CGGA original-configuration summaries,CGGA original-configuration paired intervals and mechanism,figures/figure_s19_ab.png,Aggregate summary only
Supplementary Figure S17,c-d,analysis/regret_revision/generate_revision_figures.py,analysis/regret_revision/figure5_preferred_regret_heldout_points.csv,Archived CGGA updated-lock summary artifacts,CGGA regret-lock and seed-agreement ablation,figures/figure_s19_cd.png,Aggregate summary only
Supplementary Figure S18,a-c,scripts/build_postfreeze_results.py,supplementary_data/cgga_coherent_benchmark/benchmark_metrics.csv; supplementary_data/cgga_coherent_benchmark/benchmark_intervals.csv; supplementary_data/cgga_coherent_benchmark/paired_regret_medoid_contrasts.csv,Frozen CGGA development-derived signatures,Same fixed 214/92 split and same 500-tree random forest,figures/figure_s22.svg; figures/figure_s22.pdf; figures/figure_s22.png,Aggregate metrics and paired intervals only; prediction rows excluded
Supplementary Figure S19,a-c,scripts/build_postfreeze_results.py,supplementary_data/cgga_nested_relock/fold_selection_comparison.csv; supplementary_data/cgga_nested_relock/summary.json,Five saved reduced-budget CGGA nested candidate banks,Post hoc current-rule re-locking without GA rerun or access to the 92-sample held-out partition,figures/figure_s23.svg; figures/figure_s23.pdf; figures/figure_s23.png,Aggregate fold and OOF summaries only
Supplementary Figure S20,a,scripts/build_radiomics_s20.py,supplementary_data/private_radiomics/radiomics_condition_summary.csv,Private radiomics cohort-level provenance,Frozen cohort and split counts,figures/figure_s20.svg; figures/figure_s20.pdf; figures/figure_s20.png,Aggregate non-identifying counts only
Supplementary Figure S20,b,scripts/build_radiomics_s20.py,supplementary_data/private_radiomics/compression_trajectory.csv,Verified 30-run radiomics result archive,Updated untruncated objective and strict absolute delta=0.01 locking,figures/figure_s20.svg; figures/figure_s20.pdf; figures/figure_s20.png,No participant-level data
Supplementary Figure S20,c,scripts/build_radiomics_s20.py,supplementary_data/private_radiomics/seed_stability_summary.csv,Five completed seeds per feature-space/branch bank,Seed agreement on one development sample,figures/figure_s20.svg; figures/figure_s20.pdf; figures/figure_s20.png,Not participant-resampling or biomarker stability
Supplementary Figure S20,d,scripts/build_radiomics_s20.py,supplementary_data/private_radiomics/paired_heldout_effects.csv,One-time held-out aggregate effects,"2,000 class-stratified bootstrap resamples; seed 42",figures/figure_s20.svg; figures/figure_s20.pdf; figures/figure_s20.png,Aggregate effects only; prediction rows excluded
Supplementary Figure S21,a-c,scripts/build_cgga_s9_clean.py,supplementary_data/cgga_tuned_rf_s9/nested_cv_auroc.csv; supplementary_data/cgga_tuned_rf_s9/heldout_intervals.csv; supplementary_data/cgga_tuned_rf_s9/primary_feature_importance.csv,Frozen CGGA tuned-evaluator sensitivity summaries,Nested development-CV tuned-RF sensitivity and primary-signature feature importance,figures/figure_s9.svg; figures/figure_s9.pdf; figures/figure_s9.png,Secondary descriptive analysis; no model fitting or scientific recomputation
Supplementary Figure S22,a-b,analysis/rebuild_v10_gridfree_figures.py,outputs/WrapEvoFS_V6_supplementary_data/old_S20_CGGA_runtime_memory.csv,Frozen CGGA computational audit,CGGA stage and total runtime,figures/figure_s10.png,Runtime summary data; peak-memory detail remains in the audit table
Supplementary Figure S23,a-c,analysis/cgga_comparators/build_comparator_figure.py,analysis/cgga_comparators/figure_draft/figure_panel_a_summary.csv; analysis/cgga_comparators/figure_draft/figure_panel_b_data.csv; analysis/cgga_comparators/figure_draft/figure_panel_c_data.csv,Frozen exploratory CGGA comparator summaries,Random-subset and Elastic Net comparator analysis,figures/figure_s11.png,Aggregate exploratory held-out summaries
Supplementary Figure S24,a-d,analysis/build_v4_supplementary_figure_s4.py,outputs/WrapEvoFS_V6_supplementary_data/old_S8_full_coefficient_rankings.csv,Frozen full-feature Bayesian summaries,Full-feature Bayesian posterior and sampling diagnostics,figures/figure_s4.png,Posterior summary data only
Supplementary Figure S25,a-c,analysis/rebuild_v10_gridfree_figures.py,outputs/WrapEvoFS_V6_supplementary_data/old_S8_full_coefficient_rankings.csv,Frozen restricted Bayesian diagnostic summaries,Restricted-model trace convergence and sampling efficiency,figures/figure_s6.png,Posterior summary data only
Supplementary Figure S26,a-d,analysis/rebuild_v10_gridfree_figures.py,outputs/WrapEvoFS_V6_supplementary_data/old_S3_complete_ADNI_feature_signatures.csv,Frozen training-only STABL summary artifacts,Training-only STABL stability and selected-feature overlap,figures/figure_s5.png,Training-derived feature summary data
Supplementary Figure S27,a-d,analysis/rebuild_v10_gridfree_figures.py,outputs/WrapEvoFS_V6_supplementary_data/old_S8_full_coefficient_rankings.csv; outputs/WrapEvoFS_V6_supplementary_data/old_S9_complete_81_candidate_provenance.csv,Frozen candidate-restricted interoperability summaries,Bayesian STABL and BLiP candidate-restricted analysis,figures/figure_s14.png,Summary and provenance data; source participant matrix restricted
Supplementary Figure S28,a,scripts/build_locking_simulation.py,supplementary_data/locking_rule_simulation/figure_s24_panel_a.csv,Completed frozen simulation scenario summaries,Current-minus-highest-score oracle regret across score-noise and topology strata,figures/figure_s24.svg; figures/figure_s24.pdf; figures/figure_s24.png,Equal-scenario synthetic aggregates only; hidden utility is not AUROC
Supplementary Figure S28,b,scripts/build_locking_simulation.py,supplementary_data/locking_rule_simulation/figure_s24_panel_b.csv,Completed frozen simulation scenario summaries,Tolerance trade-off at matched R=5 primary-design settings,figures/figure_s24.svg; figures/figure_s24.pdf; figures/figure_s24.png,Equal-scenario synthetic aggregates only; no model fitting
Supplementary Figure S28,c,scripts/build_locking_simulation.py,supplementary_data/locking_rule_simulation/figure_s24_panel_c.csv,Completed frozen simulation paired summaries,Candidate-bank-size sensitivity for current-minus-comparator oracle regret,figures/figure_s24.svg; figures/figure_s24.pdf; figures/figure_s24.png,Matched synthetic scenario contrasts only; no empirical dataset
