center,branch,cap,run_id,seed,archived_stable_feature_set_identifier,authoritative_stable_mask_hash,match
emory,svm_l1,low,2,43,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,c60603b8664a5ba288578d7e4db779bf18f93996d72d24276945bc28d4630d22,True
emory,svm_l1,reference,4,45,121e9797ce94f3403788f4d5e7ed030eebe099cbab4c1b4da96b444e2031f4b7,121e9797ce94f3403788f4d5e7ed030eebe099cbab4c1b4da96b444e2031f4b7,True
emory,svm_l1,reference,3,44,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,4b5a6e7008c92282cc2f0e914636b6af318cc5be64faf5a913e4d098e1f05295,True
emory,svm_l1,reference,5,46,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,bce7bc6e75587301038b728ebaa2caab341c90d564a624e4059bd387c26e896b,True
emory,svm_l1,reference,1,42,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,d14593cc561d33cf822d6a358e0ae77a58457f3a8fbc99eb7baf5cb565daadbb,True
emory,svm_l1,reference,2,43,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,e5f6f71aed3ca8fac8f111d68ee00691bf7a4175a09a372f848089973ac90044,True
emory,xgboost,low,2,43,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,1a04ae2cd74f029696f5a13683e03cefd7a51d3eca474b9cf02e869886a6a278,True
emory,xgboost,low,4,45,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,True
emory,xgboost,low,1,42,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,True
emory,xgboost,low,3,44,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,True
emory,xgboost,low,5,46,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,True
emory,xgboost,reference,4,45,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,3cf159b7d4677755fa2b19188f33d47820969448076b686d69b83b219622af7f,True
emory,xgboost,reference,1,42,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,6d34f8c0e5709895a45a37eb95dd0b5336d3998209b33cd1efc6aefa096a9661,True
emory,xgboost,reference,3,44,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,960c2670becfd73efcec724e266c1823026b5aa284345e7c9c8e4c3c498725fa,True
emory,xgboost,reference,5,46,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,ac134c488332f7db7dfc5b0fbe6a6275f7e3d19f0141ad57be1e3c244a0e414d,True
emory,xgboost,reference,2,43,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,f6be1c6ab45f14381b12b025e21c72695de8e08f7911b5617572e3849990930b,True
mayo,boruta_rf,low,4,45,1532fd18c667ca938b2ef70e008424785b4a8ebe1df3848ee1563f0d3f5659b6,1532fd18c667ca938b2ef70e008424785b4a8ebe1df3848ee1563f0d3f5659b6,True
mayo,boruta_rf,low,1,42,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,4fe26e1d5771d7a0e588e1a130396b56c5b2645b0a3e300baa45a7f0b8430c21,True
mayo,boruta_rf,low,3,44,9b3f695e28ddeeab1d2c1008066ed9f427c55e7d3fe9de7de63544c935956f01,9b3f695e28ddeeab1d2c1008066ed9f427c55e7d3fe9de7de63544c935956f01,True
mayo,boruta_rf,low,2,43,b13270bf19982aa3089713be5cc0ae224b6e5b964eda6b003e05178c70a0c437,b13270bf19982aa3089713be5cc0ae224b6e5b964eda6b003e05178c70a0c437,True
mayo,boruta_rf,low,5,46,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,fe247fab04bdce98eb9cbb879aedcf900c01b94490cd2304efe4fc80f0f3d487,True
mayo,boruta_rf,reference,4,45,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,28c9b7e4d7fb401d6f3a84ae4a2b151abbb91c8ee06e0adbc3d9b4d35af8c6c8,True
mayo,boruta_rf,reference,2,43,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,4cf2ba852ad1876990a620425a93416298ba273757d97c30d04e48b7315cda08,True
mayo,boruta_rf,reference,1,42,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,9bb54b87bd363d9eb8b92bd9c5998bc25ee586118ca608302cc1ac6ff60d0732,True
mayo,boruta_rf,reference,5,46,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,c9bbd97a6ff759d49bff570cc87f0f63c4c1b711ce858309da373a5d981f7d4f,True
mayo,boruta_rf,reference,3,44,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,fe6a131eae125e664c2599f142b6670178e04e02c31ac9f6128d1c74cc72ba3c,True
mayo,svm_l1,low,2,43,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,True
mayo,svm_l1,low,4,45,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,True
mayo,svm_l1,low,5,46,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,True
mayo,svm_l1,low,1,42,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,True
mayo,svm_l1,low,3,44,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,True
mayo,svm_l1,reference,2,43,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,2389c8b130a91c35e3d42625fd8d7590c2eb5bbf1b55c2691df4a12a47bfd94e,True
mayo,svm_l1,reference,4,45,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,72c2ffe76cc644ad3b3d18cab3d870d31903f44ccb2f27edbca07a1675f384cd,True
mayo,svm_l1,reference,5,46,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,a106f8305145deea538ff5aa4bd9123d392f2fd778a2c06f716522ed0136f744,True
mayo,svm_l1,reference,1,42,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,c9adc0fe1244bf19401fc4b9862050292752557a8e07a5d8f66faef536de6f68,True
mayo,svm_l1,reference,3,44,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,fd4893ae6ed69ce5ab400acc93662a816b2ad5a941a97395587299f839839417,True
mayo,xgboost,low,5,46,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,True
mayo,xgboost,low,1,42,8465a35a34154c7c7f8b625829989cd43e2cfaa4f61b473f9af77244537b8cc9,8465a35a34154c7c7f8b625829989cd43e2cfaa4f61b473f9af77244537b8cc9,True
mayo,xgboost,low,2,43,85967636c2fdc6f438368534c7ec35e99d4138ea5267ec015d09b08188f5ba84,85967636c2fdc6f438368534c7ec35e99d4138ea5267ec015d09b08188f5ba84,True
mayo,xgboost,low,3,44,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,True
mayo,xgboost,low,4,45,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,True
mayo,xgboost,reference,5,46,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,1f52e1444adff0a339075b05acd65e9e2477d0b9fc4e0485052291702c9fe465,True
mayo,xgboost,reference,1,42,7d03c00ca3abecb05f118488427e11584b482d136e1047f2b0a8f2816143b616,7d03c00ca3abecb05f118488427e11584b482d136e1047f2b0a8f2816143b616,True
mayo,xgboost,reference,3,44,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,c99b29a0351a634b33150073e9375389ab98f7ac6e57a2de9da83eb28d40b6cd,True
mayo,xgboost,reference,4,45,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,d1e4f13e97fb81b2d3f3796cf319c32e3c7dd649d6b015f50d058a8cb3918845,True
mayo,xgboost,reference,2,43,e04dfebd012123e791406e5a3c5e589012ae221daa4f45d8b4b5a86fd54552d6,e04dfebd012123e791406e5a3c5e589012ae221daa4f45d8b4b5a86fd54552d6,True
mount_sinai,boruta_rf,low,3,44,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,True
mount_sinai,boruta_rf,low,5,46,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,True
mount_sinai,boruta_rf,low,1,42,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,True
mount_sinai,boruta_rf,low,2,43,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,True
mount_sinai,boruta_rf,low,4,45,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,True
mount_sinai,boruta_rf,reference,3,44,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,2c826051b7e33b8ecae830d27a0f5a7955870e4ba2233df14d0fe6a11e44dd14,True
mount_sinai,boruta_rf,reference,5,46,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,671553fed907e6c129090a54ab37beac23f09f105f1eddb97e53c71e150516dc,True
mount_sinai,boruta_rf,reference,1,42,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,7bb927174cd39fce848680a4c3ac8da2c22263bd5f816e8e6ea0115a8ed3dc93,True
mount_sinai,boruta_rf,reference,2,43,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,c2571399d7d1ba01f37eb26efdb1858e8015200a8f081c44977af6f1acabe132,True
mount_sinai,boruta_rf,reference,4,45,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,fb12c08e0fd75cb8cbddce95b0424294f1c8e7ae7177669968db7ec1f1d4fe41,True
mount_sinai,svm_l1,low,3,44,0a7435542f850634b430eb8d226303ba83a59b4c212c13409caa057b9116acb5,0a7435542f850634b430eb8d226303ba83a59b4c212c13409caa057b9116acb5,True
mount_sinai,svm_l1,low,4,45,40f80ae271c76b1fe26f14d34a1186f67c717754d10867dd1b22c0255c164fb1,40f80ae271c76b1fe26f14d34a1186f67c717754d10867dd1b22c0255c164fb1,True
mount_sinai,svm_l1,low,5,46,56464df388a54b8748ea610aa297b76c3056ebbf7ac7bff3bbe32aea95cb7d18,56464df388a54b8748ea610aa297b76c3056ebbf7ac7bff3bbe32aea95cb7d18,True
mount_sinai,svm_l1,low,1,42,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,9b053e7c9f29a18a36abf713b8af7b2b4e3e0face73e4f161c21976ce286dbb6,True
mount_sinai,svm_l1,low,2,43,fc8625a399b4046ba0273bdbbb7a18306dd6a35aab1ded3671ef40664bae512d,fc8625a399b4046ba0273bdbbb7a18306dd6a35aab1ded3671ef40664bae512d,True
mount_sinai,svm_l1,reference,4,45,718ed7693c86ac81da86f9e8a737ff5fde953af8438d840001b089bc7d64e983,718ed7693c86ac81da86f9e8a737ff5fde953af8438d840001b089bc7d64e983,True
mount_sinai,svm_l1,reference,1,42,941db77b52235f3e0f64b8447be3ae80cdef609619aba75200c0c65112bfc775,941db77b52235f3e0f64b8447be3ae80cdef609619aba75200c0c65112bfc775,True
mount_sinai,svm_l1,reference,5,46,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,9b71f021efc232b98d65e91c4b50b09032a7b4b1ff04d8be091e9c2d56ccba06,True
mount_sinai,svm_l1,reference,2,43,bdecdc8c37bbfb9c66214fe7d9e9dc133bba2257032c2fb221eb4244311cac49,bdecdc8c37bbfb9c66214fe7d9e9dc133bba2257032c2fb221eb4244311cac49,True
mount_sinai,svm_l1,reference,3,44,dbcb09b4b0075258fcba1323283ebc3ffb5ed519ac3318c9f9db86bf6e321b4b,dbcb09b4b0075258fcba1323283ebc3ffb5ed519ac3318c9f9db86bf6e321b4b,True
mount_sinai,xgboost,low,2,43,16b2b35f5e183a1a6979d2605de3dfd53db1e28953a15a0da3b434b0fdc390dd,16b2b35f5e183a1a6979d2605de3dfd53db1e28953a15a0da3b434b0fdc390dd,True
mount_sinai,xgboost,low,4,45,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,True
mount_sinai,xgboost,low,1,42,6de9ad52b8ebdb75d53d5542a45977b210b76e1c40c095ffae78ad6b45d978b9,6de9ad52b8ebdb75d53d5542a45977b210b76e1c40c095ffae78ad6b45d978b9,True
mount_sinai,xgboost,low,5,46,7ab6b76a701f50964da3e5ab41483d60e450ce6b8e64e61db2291eea8f33eb27,7ab6b76a701f50964da3e5ab41483d60e450ce6b8e64e61db2291eea8f33eb27,True
mount_sinai,xgboost,low,3,44,ca5deeaef5abfb2d8f293ff961507347546ccbe7b6826f56e011a6aa6dc21411,ca5deeaef5abfb2d8f293ff961507347546ccbe7b6826f56e011a6aa6dc21411,True
mount_sinai,xgboost,reference,2,43,2c513c17644dd780190f3dc573112ea5f6d0b99d8394edbb21088ff539aee920,2c513c17644dd780190f3dc573112ea5f6d0b99d8394edbb21088ff539aee920,True
mount_sinai,xgboost,reference,5,46,2ed094ea7ad77512410ed6d2235c08372c666e153c35591b5b9a403043b5ef5f,2ed094ea7ad77512410ed6d2235c08372c666e153c35591b5b9a403043b5ef5f,True
mount_sinai,xgboost,reference,4,45,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,3f5f7c3d10a7c07ad87a9645d15d32b7604527cb84ee9ffdb51e27bef822245e,True
mount_sinai,xgboost,reference,1,42,6de9ad52b8ebdb75d53d5542a45977b210b76e1c40c095ffae78ad6b45d978b9,6de9ad52b8ebdb75d53d5542a45977b210b76e1c40c095ffae78ad6b45d978b9,True
mount_sinai,xgboost,reference,3,44,ca5deeaef5abfb2d8f293ff961507347546ccbe7b6826f56e011a6aa6dc21411,ca5deeaef5abfb2d8f293ff961507347546ccbe7b6826f56e011a6aa6dc21411,True
